fault_id,fault_val,ai_time_ms,vanilla_time_ms,vanilla_backtracks
1594,D,63.9193058013916,14.61338996887207,0
1671,DB,129.56809997558594,13.391733169555664,0
1706,D,45.48001289367676,14.905452728271484,0
1742,D,165.24386405944824,13.495922088623047,0
1795,DB,8222.242832183838,20.5078125,0
1818,D,204.35500144958496,13.357877731323242,0
1825,D,8049.8034954071045,20.412683486938477,0
1837,D,37.09840774536133,18.19324493408203,0
1875,D,93.10102462768555,17.580270767211914,0
1882,D,119.84777450561523,19.875049591064453,0
1896,D,101.96423530578613,16.299009323120117,0
1919,D,62.13831901550293,19.942283630371094,0
1921,D,59.67426300048828,20.784616470336914,0
1937,D,163.79356384277344,20.38264274597168,0
1968,D,282.8936576843262,20.548582077026367,0
1975,D,72.55148887634277,20.951509475708008,0
1977,D,73.99940490722656,21.17919921875,0
2014,D,207.8413963317871,17.74740219116211,0
2018,DB,364.886999130249,21.080732345581055,0
2019,DB,342.9536819458008,20.729780197143555,0
2020,D,212.99266815185547,20.550966262817383,0
2022,D,116.86301231384277,19.84858512878418,0
2024,D,11.189460754394531,19.738435745239258,0
2025,D,11.880159378051758,19.980907440185547,0
2037,D,109.27867889404297,16.4034366607666,0
2041,DB,12.747049331665039,19.762277603149414,0
2042,DB,13.172149658203125,20.041704177856445,0
2067,D,78.63974571228027,19.791364669799805,0
2086,D,78.00507545471191,19.778013229370117,0
2089,DB,72.47710227966309,20.049095153808594,0
2214,D,100.87800025939941,19.717693328857422,0
2216,D,101.05085372924805,19.9127197265625,0
2226,D,105.43274879455566,20.38741111755371,0
2228,D,104.36320304870605,20.573139190673828,0
2232,D,11.684656143188477,20.39337158203125,0
2233,D,13.369560241699219,20.63894271850586,0
2240,DB,13.331413269042969,20.423412322998047,0
2241,DB,14.351606369018555,20.639657974243164,0
2253,D,127.04920768737793,20.478010177612305,0
2263,D,128.83377075195312,20.739316940307617,0
2340,D,576.185941696167,19.995450973510742,0
2375,DB,268.3432102203369,19.62900161743164,0
2385,D,246.57511711120605,20.543336868286133,0
