fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s
4334,16930,3,False,2,289,629,0,3099,10.002543
4335,16932,3,False,2,293,632,0,3201,10.021262
4336,16933,4,False,2,291,632,0,2882,10.007851
4337,16939,4,False,2,292,646,0,2613,10.004372
4338,16942,3,False,2,233,552,0,805,10.069239
4339,16943,3,True,1,0,24,0,231,0.27136
4340,16943,4,True,1,0,28,0,276,0.324855
4341,16946,3,True,1,0,48,0,493,0.5441
4342,16948,4,True,1,0,63,0,597,0.708338
4343,16950,4,True,1,0,7,0,34,0.091696
4344,16951,3,True,1,0,32,0,316,0.380609
4345,16953,3,False,2,246,550,0,1192,10.003686
4346,16953,4,True,1,0,29,0,264,0.325652
4347,16954,3,False,2,178,413,0,1965,10.044033
4348,16959,4,True,1,0,17,0,150,0.436021
4349,16967,3,True,1,0,6,0,15,0.17884
4350,16969,4,True,1,0,6,0,20,0.169386
4351,16971,4,True,1,0,6,0,20,0.166095
4352,16973,3,True,1,0,4,0,14,0.119139
4353,16975,4,True,1,0,6,0,20,0.164665
4354,16978,3,True,1,0,6,0,15,0.179873
4355,16981,3,True,1,0,6,0,15,0.171149
4356,16981,4,True,1,0,10,0,47,0.257878
4357,16983,3,True,1,0,6,0,15,0.164454
4358,16988,3,True,1,0,4,0,14,0.117688
4359,16990,3,True,1,0,4,0,14,0.116119
4360,16991,3,True,1,0,4,0,14,0.119866
4361,16992,3,True,1,0,4,0,14,0.121814
4362,16994,4,True,1,0,10,0,49,0.256979
4363,16996,4,True,1,0,10,0,49,0.265226
4364,16997,3,True,1,0,6,0,15,0.166176
4365,16997,4,True,1,0,10,0,49,0.292003
4366,16998,4,True,1,0,10,0,49,0.260903
4367,16999,4,True,1,0,10,0,49,0.260711
4368,17003,4,True,1,0,6,0,20,0.174662
4369,17006,3,True,1,0,4,0,14,0.119139
4370,17011,3,True,1,0,4,0,14,0.120841
4371,17012,3,True,1,0,4,0,14,0.120836
4372,17013,4,True,1,0,6,0,22,0.171478
4373,17017,3,True,1,0,4,0,14,0.120905
4374,17018,3,True,1,0,4,0,14,0.120953
4375,17020,3,True,1,0,4,0,14,0.0474
4376,17020,4,True,1,0,6,0,22,0.062692
4377,17021,4,True,1,0,6,0,22,0.067882
4378,17022,4,True,1,0,6,0,22,0.066624
4379,17031,4,True,1,0,6,0,22,0.067763
4380,17033,4,True,1,0,6,0,22,0.066979
4381,17034,4,True,1,0,6,0,22,0.063051
4382,17035,3,True,1,0,4,0,14,0.044454
4383,17038,3,True,1,0,4,0,14,0.044627
4384,17039,4,True,1,0,6,0,22,0.063414
4385,17041,3,True,1,0,4,0,14,0.046831
4386,17043,4,True,1,0,6,0,22,0.066849
4387,17045,4,True,1,0,6,0,22,0.066124
4388,17050,3,True,1,0,7,0,32,0.073184
4389,17051,3,True,1,0,7,0,32,0.072701
4390,17052,3,True,1,26,77,0,694,0.950125
4391,17053,4,True,1,0,8,0,23,0.079642
4392,17061,4,True,1,0,13,0,68,0.128505
4393,17062,3,True,1,0,8,0,20,0.081486
4394,17065,4,True,1,0,17,0,146,0.165254
4395,17071,4,True,1,0,23,0,314,0.221967
4396,17073,4,True,1,0,25,0,386,0.24363
4397,17074,3,True,1,0,8,0,20,0.081467
4398,17075,4,True,1,0,27,0,466,0.262211
4399,17077,4,True,1,0,29,0,554,0.289744
4400,17079,3,True,1,0,7,0,14,0.073499
4401,17081,4,True,1,0,33,0,754,0.3202
4402,17084,3,True,1,0,7,0,14,0.090784
4403,17084,4,True,1,0,36,0,925,0.348555
4404,17087,4,True,1,0,38,0,1079,0.396267
4405,17088,4,True,1,0,6,0,25,0.063928
4406,17093,3,True,1,0,9,0,30,0.091368
4407,17095,3,True,1,0,8,0,20,0.085925
4408,17095,4,True,1,0,6,0,25,0.066007
4409,17100,3,True,1,0,8,0,20,0.083196
4410,17102,3,True,1,0,8,0,20,0.082526
4411,17103,4,True,1,0,6,0,25,0.063696
4412,17107,3,True,1,0,8,0,20,0.083621
4413,17109,3,True,1,0,7,0,14,0.076773
4414,17110,3,True,1,0,7,0,14,0.097041
4415,17110,4,True,1,0,6,0,25,0.125944
4416,17112,3,True,1,0,7,0,14,0.149304
4417,17112,4,True,1,0,6,0,25,0.130405
4418,17116,3,True,1,0,7,0,14,0.120607
4419,17122,4,True,1,0,4,0,11,0.043818
4420,17126,4,True,1,0,4,0,8,0.043975
4421,17131,4,True,1,0,4,0,8,0.04276
4422,17133,3,True,1,0,20,0,223,0.274089
4423,17135,3,True,1,0,20,0,223,0.194428
4424,17137,4,True,1,0,4,0,8,0.062391
4425,17141,4,True,1,0,12,0,75,0.224947
4426,17145,4,True,1,0,10,0,37,0.100831
4427,17148,3,True,1,0,4,0,10,0.045669
4428,17148,4,True,1,0,4,0,12,0.043563
4429,17150,3,True,1,0,9,0,60,0.089985
4430,17153,3,True,1,0,4,0,15,0.044354
4431,17160,3,True,1,0,25,0,275,0.240149
4432,17166,4,True,1,0,22,0,177,0.210579
4433,17172,3,True,1,0,25,0,263,0.445938
4434,17184,3,True,1,0,25,0,263,0.462786
4435,17187,4,True,1,0,41,0,379,0.42036
4436,17194,4,True,1,0,18,0,168,0.173434
4437,17214,3,True,1,0,18,0,184,0.236093
4438,17217,3,True,1,0,5,0,12,0.104698
4439,17217,4,True,1,0,7,0,26,0.138997
