fault_index,original_fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,time_s,classic_timeout_time_s,classic_timeout_backtracks,classic_timeout_recursive_calls,ai_error
795,2344,11722,3,False,1,False,1,35,5.5803,0.0254,4.7189,10.8101,2,159,21.1415,10.042,332,736,
796,2345,11724,3,False,1,False,1,34,4.4438,0.0271,4.1646,10.931,2,165,19.5746,10.010633,341,734,
797,2346,11725,3,False,1,False,1,37,2.5822,0.0262,2.617,10.8854,2,165,16.1185,10.022455,340,729,
798,2347,11728,4,False,1,False,1,48,5.4754,0.0287,4.0219,10.7231,2,154,20.2562,10.015643,226,532,
799,2348,11729,4,False,1,False,1,53,5.6241,0.0,3.9876,11.4592,2,164,21.0784,10.010431,167,397,
800,2349,11733,3,False,1,False,1,33,3.7241,0.0154,2.1459,10.7063,2,258,16.5975,10.013692,173,407,
801,2350,11734,4,False,1,False,1,21,4.3074,0.0,2.1823,10.5996,2,98,17.0951,10.009033,163,419,
802,2351,11736,3,False,1,False,1,16,1.4752,0.0162,1.4938,10.2626,2,221,13.2521,10.084744,173,393,
803,2352,11737,4,False,1,False,1,28,1.1485,0.0263,0.5865,10.2752,2,155,12.0451,10.000233,319,756,
804,2354,11740,4,False,1,False,1,32,3.307,0.0257,3.7391,10.3128,2,302,17.3921,10.013965,351,738,
805,2355,11742,3,False,1,False,1,4,0.545,0.0,0.5357,10.0739,2,308,11.1599,10.007332,332,790,
806,2357,11744,3,False,1,False,1,55,0.4217,0.0153,0.4203,10.7138,2,307,11.5754,10.022179,357,760,
807,2358,11746,3,False,1,False,1,36,0.3833,0.016,0.1186,10.244,2,186,10.7664,10.001677,362,773,
808,2362,11754,3,False,1,False,1,2,1.716,0.0302,2.9185,10.0667,2,184,14.7385,10.006326,335,804,
809,2363,11758,3,True,1,True,1,10,1.6426,0.0262,0.0,0.2485,1,0,1.9257,10.004108,334,792,
810,2364,11758,4,True,1,True,1,13,2.6416,0.0154,0.0,0.2227,1,0,2.8826,10.008625,336,789,
811,2368,11761,4,True,1,True,1,9,2.0654,0.0157,0.0,0.1054,1,0,2.1946,10.003885,340,774,
812,2379,11800,4,False,1,False,1,38,1.5406,0.0,1.4821,10.6595,2,308,13.6868,10.009258,305,698,
813,2382,11805,4,False,1,False,1,31,1.3781,0.0,1.2754,10.4886,2,328,13.1467,10.004027,348,757,
814,2387,11818,4,False,1,False,1,21,0.6938,0.0156,0.6846,10.0435,2,195,11.4431,10.007839,353,756,
815,2389,11820,3,True,1,True,1,59,0.7826,0.0166,0.0,0.6139,1,0,1.4189,10.007828,353,742,
816,2390,11822,3,False,1,False,1,22,0.9452,0.016,0.968,10.3511,2,340,12.2859,10.002755,364,758,
817,2393,11824,4,False,1,False,1,18,1.2961,0.0162,1.0263,10.0179,2,327,12.3601,10.004314,357,739,
818,2395,11830,3,False,1,False,1,47,0.8634,0.0161,0.8329,10.2384,2,325,11.9567,10.003486,355,774,
819,2410,11872,3,False,1,False,1,68,2.1942,0.0155,1.873,10.9675,2,316,15.0545,10.005814,346,750,
820,2411,11872,4,False,1,False,1,55,1.339,0.0158,1.1597,10.5291,2,286,13.0465,10.002176,346,735,
821,2432,11917,3,False,1,False,1,19,0.9001,0.0159,0.5095,10.2431,2,313,11.6729,10.014277,361,744,
822,2435,11928,4,False,1,False,1,28,0.3777,0.0157,0.0833,10.5151,2,325,10.9961,10.006343,349,778,
823,2436,11930,3,False,1,False,1,23,0.352,0.0157,0.0454,10.2431,2,318,10.6603,10.006315,342,757,
824,2437,11937,3,False,1,False,1,88,4.1271,0.0151,5.9809,11.1989,2,187,21.3266,10.007128,332,764,
825,2439,11942,4,False,1,False,1,32,1.3894,0.0168,3.216,10.0206,2,190,14.6472,10.030135,350,728,
826,2440,11946,3,False,1,False,1,35,1.8716,0.0158,1.8332,10.3088,2,233,14.0332,10.034161,359,758,
827,2441,11949,3,False,1,False,1,35,2.0601,0.0163,2.2744,10.312,2,285,14.6665,10.007735,364,769,
828,2443,11951,3,False,1,False,1,61,1.3677,0.026,2.7181,11.2209,2,322,15.3379,10.009931,358,777,
829,2445,11953,3,False,1,False,1,29,1.0989,0.0153,2.1855,10.2136,2,316,13.5169,10.011043,355,761,
830,2448,11963,3,False,1,False,1,63,1.0679,0.0155,2.1863,10.7395,2,283,14.013,10.001761,283,662,
831,2451,11970,3,False,1,False,1,31,2.1557,0.0155,1.6573,10.2411,2,311,14.0733,10.001585,349,761,
832,2454,11976,3,False,1,False,1,18,1.9375,0.0155,1.8461,10.1061,2,221,13.9089,10.114302,126,352,
833,2531,12193,4,False,1,False,1,15,2.9612,0.0156,2.1833,10.0172,2,316,15.183,10.201369,351,765,
834,2532,12197,3,False,1,False,1,24,0.8981,0.0,0.9215,10.4273,2,310,12.2522,10.002246,201,504,
835,2533,12199,3,False,1,False,1,28,2.4924,0.0157,2.3921,10.4113,2,326,15.3159,10.005004,243,526,
836,2534,12199,4,False,1,False,1,15,2.2459,0.016,2.5648,10.0243,2,272,14.8541,10.000786,246,533,
837,2536,12202,4,False,1,False,1,15,2.8093,0.0266,2.6891,10.145,2,243,15.6767,10.006787,243,556,
838,2538,12211,3,False,1,False,1,52,2.3847,0.0154,2.4026,10.781,2,240,15.5879,10.013297,169,424,
839,2539,12214,4,False,1,False,1,47,2.1943,0.0155,2.2036,10.4978,2,321,14.9155,10.006825,233,525,
840,2540,12215,4,False,1,False,1,46,2.0936,0.0156,2.1444,10.4961,2,154,14.7539,10.002705,295,677,
841,2541,12216,3,False,1,False,1,64,2.262,0.0153,2.2799,11.005,2,235,15.5663,10.018251,123,334,
842,2542,12217,4,False,1,False,1,44,2.0988,0.0151,2.8661,10.5222,2,102,15.5065,10.021196,243,568,
843,2543,12221,4,False,1,False,1,15,2.805,0.016,3.1119,10.1555,2,140,16.0941,10.380432,94,285,
844,2544,12222,3,False,1,False,1,36,2.1368,0.0155,1.1348,10.8607,2,311,14.1558,10.010224,101,318,
845,2545,12222,4,False,1,False,1,25,0.6442,0.0158,0.694,10.212,2,318,11.5689,10.014645,127,337,
846,2546,12225,3,False,1,False,1,51,2.3625,0.0154,2.295,10.7572,2,302,15.4344,10.167094,201,490,
847,2547,12225,4,False,1,False,1,38,2.2065,0.0159,2.151,10.4187,2,154,14.7949,10.001989,244,578,
848,2550,12229,4,False,1,False,1,16,0.6833,0.0156,3.842,10.0181,2,298,14.5648,10.006759,149,419,
849,2561,12256,3,False,1,False,1,28,4.5034,0.0156,4.4883,10.4321,2,302,19.443,10.031916,238,607,
850,2562,12259,4,False,1,False,1,15,2.4196,0.0151,2.4786,10.1067,2,144,15.0236,10.014753,226,557,
851,2566,12264,3,False,1,False,1,34,2.1574,0.015,2.3739,10.4858,2,316,15.0362,10.011053,302,676,
852,2567,12264,4,False,1,False,1,52,2.6731,0.0158,2.8071,10.5019,2,284,16.0008,10.004195,290,653,
853,2569,12268,3,False,1,False,1,21,1.6043,0.0,1.3068,10.3299,2,310,13.2453,10.00702,289,660,
854,2570,12269,4,False,1,False,1,37,1.8172,0.016,1.6684,10.5067,2,328,14.0127,10.029711,304,660,
855,2571,12270,3,False,1,False,1,49,2.4382,0.0,1.6997,10.7842,2,310,14.9265,10.005566,194,467,
856,2572,12273,4,False,1,False,1,33,1.2323,0.0159,2.3782,10.4432,2,325,14.0742,10.018404,273,607,
857,2574,12277,4,False,1,False,1,22,0.7485,0.0156,0.8258,10.022,2,323,11.6165,10.043011,151,315,
858,2576,12283,4,False,1,False,1,13,0.2927,0.0315,0.1248,10.1582,2,46,10.6103,10.019987,136,292,
859,2586,12322,4,False,1,False,1,51,1.69,0.0161,2.2038,10.5479,2,199,14.4627,10.002058,228,515,
860,2587,12323,3,False,1,False,1,32,3.5998,0.0,1.5586,10.5561,2,292,15.7221,10.008454,269,633,
861,2595,12335,3,True,1,True,1,27,3.7871,0.0157,0.0,0.3822,1,0,4.1899,10.01668,275,580,
862,2597,12341,4,False,1,False,1,92,1.2137,0.0155,1.0787,10.6274,2,290,12.9438,10.009269,264,560,
863,2598,12342,3,False,1,False,1,23,0.6637,0.0159,0.6838,10.2894,2,328,11.66,10.008126,246,525,
864,2619,12390,4,True,1,False,1,69,2.2588,0.0159,1.7042,7.7753,1,216,11.76,10.012739,123,304,
865,2635,12426,3,False,1,False,1,25,1.6897,0.0,2.1137,10.3809,2,327,14.1887,10.014498,136,298,
866,2638,12436,3,False,1,False,1,1,1.0126,0.0158,2.1808,10.0158,2,308,13.2293,10.042561,113,319,
867,2639,12438,3,False,1,False,1,1,0.8023,0.0157,0.8142,10.0276,2,166,11.6641,10.014357,112,322,
868,2640,12438,4,False,1,False,1,8,0.3567,0.0154,0.6642,10.0938,2,253,11.1334,10.073344,127,315,
869,2641,12439,3,False,1,False,1,28,0.9632,0.0,1.152,10.6117,2,301,12.7324,10.002877,125,315,
870,2642,12440,4,False,1,False,1,8,0.3577,0.0155,0.6176,10.052,2,329,11.047,10.020503,130,302,
871,2643,12442,3,False,1,False,1,1,1.0597,0.0161,1.0576,10.0569,2,317,12.1946,10.01679,119,312,
872,2644,12444,3,False,1,False,1,1,2.2115,0.0154,1.0134,10.0162,2,309,13.2608,10.007864,197,487,
873,2645,12447,3,False,1,False,1,21,1.0915,0.0,1.1084,10.3917,2,332,12.5971,10.107312,310,651,
874,2646,12449,4,False,1,False,1,25,0.4292,0.0152,0.3722,10.2712,2,313,11.0932,10.002784,291,655,
875,2647,12450,3,False,1,False,1,1,0.7476,0.0156,0.7844,10.0157,2,304,11.5677,10.015698,241,579,
876,2648,12451,3,False,1,False,1,38,0.9424,0.0,1.088,10.5714,2,321,12.6072,10.005882,306,666,
877,2649,12451,4,False,1,False,1,26,0.3798,0.0157,0.6511,10.3068,2,244,11.3562,10.009667,243,517,
878,2651,12455,3,False,1,False,1,26,3.6715,0.0269,3.4006,10.2914,2,317,17.3989,10.058171,176,380,
879,2656,12468,4,False,1,False,1,34,1.581,0.0163,1.5662,10.3026,2,277,13.4698,10.052004,124,300,
