rank,fault_index,gate_id,fault_val,classic_backtracks,classic_time_s,ai_time_s,classic_ok,precheck_success,attempts_used
316,5924,29547,3,6,1.6236,2.0257,True,False,1
317,5778,28807,3,6,1.6002,1.7419,True,False,1
318,5907,29431,4,6,1.5661,1.8235,True,False,1
319,1564,7589,3,6,1.5329,1.8906,True,False,1
320,1353,6565,3,6,1.5172,1.1988,True,False,1
321,1597,7764,3,6,1.5012,1.7423,True,False,1
322,3919,19434,3,6,1.4155,1.4639,True,False,1
323,3665,18033,4,6,1.3913,1.4482,True,False,1
324,609,2944,3,6,1.3717,1.3978,True,False,1
325,3847,19009,3,6,1.369,1.4092,True,False,1
326,3504,17223,4,6,1.3256,1.4278,True,False,1
327,3167,15479,3,6,1.2917,1.3426,True,False,1
328,3288,16112,3,6,1.2792,1.3141,True,False,1
329,608,2938,3,6,1.2729,1.3226,True,False,1
330,606,2935,4,6,1.2497,1.2577,True,False,1
331,2969,14495,3,6,1.2413,1.2731,True,False,1
332,604,2927,4,6,1.1377,1.1781,True,False,1
333,1614,7848,4,6,1.0064,1.0765,True,False,1
334,3757,18570,4,6,0.9926,1.148,True,False,1
335,3759,18577,4,6,0.9762,1.151,True,False,1
336,602,2911,3,6,0.9158,0.9786,True,False,1
337,2442,12170,4,6,0.908,0.933,True,False,1
338,2877,14120,3,6,0.9045,0.9726,True,False,1
339,1188,5756,4,6,0.9024,0.929,True,False,1
340,893,4293,3,6,0.9021,0.9191,True,False,1
341,3666,18034,3,6,0.8927,0.9343,True,False,1
342,1187,5754,3,6,0.8924,0.922,True,False,1
343,3503,17222,3,6,0.8914,0.9293,True,False,1
344,2587,12788,3,6,0.8892,0.9317,True,False,1
345,2160,10635,3,6,0.8861,0.9214,True,False,1
346,1186,5752,3,6,0.8857,0.9337,True,False,1
347,2441,12168,3,6,0.884,0.9565,True,False,1
348,1996,9778,3,6,0.8834,0.9275,True,False,1
349,2797,13775,4,6,0.8825,0.9489,True,False,1
350,1185,5751,4,6,0.8822,0.9175,True,False,1
351,1405,6848,4,6,0.879,0.9179,True,False,1
352,3584,17615,4,6,0.8786,0.9347,True,False,1
353,3720,18355,4,6,0.8762,0.9156,True,False,1
354,2728,13376,4,6,0.8756,0.9168,True,False,1
355,2337,11632,3,6,0.8745,0.9258,True,False,1
356,2796,13774,4,6,0.8743,0.9195,True,False,1
357,3567,17513,4,6,0.8743,0.9574,True,False,1
358,3776,18670,3,6,0.8739,1.0281,True,False,1
359,3289,16115,3,6,0.8709,0.928,True,False,1
360,2971,14498,4,6,0.8641,0.8982,True,False,1
361,2970,14495,4,6,0.8639,0.9166,True,False,1
362,610,2954,3,6,0.8196,0.8821,True,False,1
363,1031,5029,3,6,0.5729,0.2282,True,False,1
364,5986,29850,4,5,1.5207,1.694,True,False,1
365,1982,9679,3,5,1.1622,1.2365,True,False,1
366,3977,19680,3,5,1.1301,1.2442,True,False,1
367,1984,9683,3,5,1.0766,1.2045,True,False,1
368,732,3550,4,5,0.8032,0.849,True,False,1
369,578,2797,4,4,2.4571,2.4707,True,False,1
370,6146,30661,3,4,2.439,2.4761,True,False,1
371,644,3111,3,4,2.0565,2.1504,True,False,1
372,6107,30455,3,4,2.0365,2.06,True,False,1
373,645,3112,3,4,2.0239,2.0806,True,False,1
374,6166,30790,4,4,1.8793,2.6177,True,False,1
375,6096,30415,4,4,1.8388,1.882,True,False,1
376,6100,30429,3,4,1.6921,1.7031,True,False,1
377,6077,30311,4,4,1.4684,1.5003,True,False,1
378,6106,30453,3,4,1.4668,1.5324,True,False,1
379,6046,30147,4,4,1.4434,1.476,True,False,1
380,6048,30150,3,4,1.4421,1.4679,True,False,1
381,643,3109,4,4,1.4243,1.4663,True,False,1
382,5988,29852,4,4,1.3997,1.8261,True,False,1
383,3777,18684,4,4,1.3971,1.3994,True,False,1
384,5706,28512,4,4,1.3635,1.3985,True,False,1
385,5708,28516,3,4,1.3268,1.3462,True,False,1
386,5634,28079,4,4,1.3248,1.3611,True,False,1
387,642,3099,3,4,1.3205,1.3858,True,False,1
388,641,3097,3,4,1.2991,1.3369,True,False,1
389,576,2793,4,4,1.2759,1.3148,True,False,1
390,640,3093,4,4,1.263,1.3102,True,False,1
391,5277,26313,3,4,1.2411,1.2771,True,False,1
392,6143,30650,3,4,1.2381,1.2805,True,False,1
393,3078,15049,4,4,1.1814,1.1966,True,False,1
394,639,3083,4,4,1.1544,1.1886,True,False,1
395,2729,13384,4,4,1.1316,1.1741,True,False,1
396,5403,26912,3,4,1.1315,1.3735,True,False,1
397,5032,25049,4,4,1.1135,1.8955,True,False,1
398,638,3082,4,4,1.1064,1.1357,True,False,1
399,4137,20587,4,4,1.1025,1.1407,True,False,1
400,2659,13057,4,4,1.0976,1.2535,True,False,1
401,2660,13061,4,4,1.0916,1.2027,True,False,1
402,3990,19770,3,4,1.0832,1.124,True,False,1
403,3588,17627,3,4,1.0716,1.1231,True,False,1
404,2445,12179,4,4,1.0713,1.0921,True,False,1
405,3778,18691,3,4,1.0663,1.1076,True,False,1
406,3724,18373,4,4,1.0637,1.0865,True,False,1
407,6144,30652,4,4,1.0593,1.7448,True,False,1
408,5894,29379,3,4,1.0366,1.9252,True,False,1
409,637,3071,3,4,1.0346,1.0717,True,False,1
410,3168,15493,3,4,1.0159,1.083,True,False,1
411,5980,29831,3,4,1.0002,1.0356,True,False,1
412,635,3063,3,4,0.9646,0.9863,True,False,1
413,4008,19870,3,4,0.952,1.6084,True,False,1
414,636,3068,4,4,0.9447,1.0054,True,False,1
415,2181,10807,4,4,0.9397,1.1888,True,False,1
416,1998,9792,3,4,0.9347,0.9774,True,False,1
417,6101,30433,3,4,0.9293,0.9924,True,False,1
418,2661,13070,4,4,0.9094,1.0388,True,False,1
419,634,3059,3,4,0.9087,0.9383,True,False,1
420,4851,24116,4,4,0.8709,1.002,True,False,1
421,632,3049,3,4,0.8681,0.8747,True,False,1
422,3698,18235,4,4,0.8652,1.0248,True,False,1
423,2448,12183,3,4,0.857,0.8957,True,False,1
424,1999,9793,3,4,0.8554,0.8866,True,False,1
425,5923,29541,4,4,0.8508,0.8822,True,False,1
426,3669,18051,3,4,0.8503,0.9277,True,False,1
427,5580,27791,4,4,0.8483,1.0693,True,False,1
428,1407,6856,3,4,0.8472,0.8967,True,False,1
429,3754,18563,4,4,0.8471,1.0211,True,False,1
430,5669,28293,4,4,0.8463,0.8907,True,False,1
431,3081,15053,4,4,0.846,0.8914,True,False,1
432,1190,5771,3,4,0.8457,0.886,True,False,1
433,4685,23271,3,4,0.8408,0.8971,True,False,1
434,5053,25138,3,4,0.8387,0.8807,True,False,1
435,4394,21859,4,4,0.8382,0.871,True,False,1
436,2254,11186,3,4,0.8376,0.8765,True,False,1
437,3169,15494,4,4,0.834,1.0462,True,False,1
438,3604,17737,3,4,0.8328,1.3675,True,False,1
439,1619,7867,4,4,0.8312,0.846,True,False,1
440,4068,20183,3,4,0.827,0.8579,True,False,1
441,3080,15052,4,4,0.8265,0.8655,True,False,1
442,3923,19447,4,4,0.8262,1.4034,True,False,1
443,3170,15497,3,4,0.826,0.8507,True,False,1
444,611,2959,4,4,0.8249,0.8571,True,False,1
445,3755,18567,4,4,0.8223,1.029,True,False,1
446,5850,29152,4,4,0.819,0.9817,True,False,1
447,1616,7861,3,4,0.8182,0.8536,True,False,1
448,1191,5772,4,4,0.8164,0.8415,True,False,1
449,6049,30152,4,4,0.8161,1.453,True,False,1
450,613,2966,4,4,0.8154,0.8438,True,False,1
451,3780,18693,4,4,0.8154,0.9503,True,False,1
452,3756,18568,4,4,0.8147,1.1002,True,False,1
453,5581,27794,4,4,0.8145,0.9696,True,False,1
454,3635,17857,4,4,0.8132,0.9732,True,False,1
455,5054,25141,4,4,0.8129,0.8384,True,False,1
456,896,4313,3,4,0.8125,0.8516,True,False,1
457,3509,17238,4,4,0.8121,0.8716,True,False,1
458,2449,12184,4,4,0.8118,0.8389,True,False,1
459,1189,5766,3,4,0.81,0.8546,True,False,1
460,2446,12180,3,4,0.8093,1.0974,True,False,1
461,3851,19027,4,4,0.8085,1.0588,True,False,1
462,2447,12181,3,4,0.8078,1.1255,True,False,1
463,3725,18374,4,4,0.8078,1.1049,True,False,1
464,2343,11639,3,4,0.8071,0.8413,True,False,1
465,2800,13783,4,4,0.806,0.8449,True,False,1
466,2880,14137,3,4,0.8051,0.8612,True,False,1
467,3418,16736,4,4,0.8039,0.853,True,False,1
468,3633,17850,4,4,0.8036,0.9553,True,False,1
469,633,3052,3,4,0.8011,0.8394,True,False,1
470,2255,11188,4,4,0.8009,0.8319,True,False,1
471,3922,19446,4,4,0.7996,0.849,True,False,1
472,3586,17624,4,4,0.7988,0.8381,True,False,1
473,2730,13387,3,4,0.7985,1.1281,True,False,1
474,3420,16742,4,4,0.798,0.8807,True,False,1
475,3292,16128,3,4,0.7927,1.2433,True,False,1
476,3989,19762,4,4,0.7925,0.8155,True,False,1
477,3419,16742,3,4,0.7905,0.8413,True,False,1
478,3079,15051,3,4,0.7896,1.2077,True,False,1
479,3634,17851,3,4,0.7892,0.9434,True,False,1
480,366,1802,3,4,0.7865,0.8312,True,False,1
481,6128,30558,4,4,0.7845,1.4686,True,False,1
482,4069,20187,4,4,0.7821,0.9438,True,False,1
483,6102,30435,3,4,0.7741,0.8252,True,False,1
484,3988,19762,3,4,0.7732,0.8256,True,False,1
485,3380,16521,4,4,0.7717,0.8625,True,False,1
486,3849,19020,4,4,0.7692,0.8053,True,False,1
487,3379,16520,4,4,0.7529,0.865,True,False,1
488,2656,13043,4,4,0.7391,0.8775,True,False,1
489,6093,30408,3,4,0.7133,0.7453,True,False,1
490,6125,30537,4,4,0.7107,1.3734,True,False,1
491,6066,30264,4,4,0.7079,0.7413,True,False,1
492,6141,30645,3,4,0.6267,0.674,True,False,1
493,6090,30399,3,4,0.6203,0.6609,True,False,1
494,4726,23458,4,4,0.5928,2.0382,True,False,1
495,4714,23398,4,4,0.57,2.0554,True,False,1
496,661,3193,4,4,0.568,0.5795,True,False,1
497,4698,23327,4,4,0.5557,2.85,True,False,1
498,660,3190,4,4,0.5468,0.5844,True,False,1
