fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
390,4496,3,True,1,True,1,23,0.0118,0.0647,0.0,0.7199,1,0,True,1,0,24,,,1.2811,0.4763
391,4496,4,True,1,True,1,25,0.0224,0.0647,0.0,0.7201,1,0,True,1,0,26,,,1.3404,0.525
392,4501,3,True,1,True,1,4,0.0149,0.0641,0.0,0.0633,1,0,True,1,0,4,,,0.2261,0.0759
393,4501,4,True,1,True,1,3,0.0152,0.0651,0.0,0.0632,1,0,True,1,0,4,,,0.228,0.0766
394,4503,3,True,1,True,1,33,0.0044,0.064,0.0,1.0258,1,0,True,1,0,35,,,1.8218,0.7195
395,4503,4,True,1,True,1,33,0.0045,0.066,0.0,1.0192,1,0,True,1,0,34,,,1.7885,0.6908
396,4530,3,True,1,True,1,21,0.024,0.0642,0.0,0.5919,1,0,True,1,0,22,,,1.1261,0.4374
397,4530,4,True,1,True,1,13,0.018,0.0643,0.0,0.2765,1,0,True,1,0,14,,,0.6395,0.2719
398,4540,3,True,1,True,1,4,0.0227,0.0646,0.0,0.0,1,0,True,1,0,3,,,0.151,0.0571
399,4540,4,True,1,True,1,4,0.0211,0.0319,0.0,0.0,1,0,True,1,0,5,,,0.1586,0.1011
400,4541,3,True,1,True,1,13,0.0062,0.0651,0.0,0.3833,1,0,True,1,0,13,,,0.7164,0.2538
401,4541,4,True,1,True,1,20,0.0069,0.0652,0.0,0.529,1,0,True,1,0,8,,,0.7662,0.1572
402,4544,3,False,1,False,1,18,0.0098,0.0647,0.0,0.5336,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,1.9599,1.3441
403,4544,4,False,1,False,1,19,0.0098,0.0667,0.0,0.5342,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,1.9709,1.3524
404,4547,3,True,1,True,1,7,0.0105,0.0642,0.0,0.1908,1,0,True,1,0,8,,,0.4365,0.163
405,4547,4,True,1,True,1,8,0.011,0.0652,0.0,0.1908,1,0,True,1,0,8,,,0.4373,0.1622
