fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
2584,6600,3,True,1,True,1,35,0.0315,0.0664,0.0,1.0392,1,0,True,1,0,36,,,1.8529,0.7082
2585,6600,4,True,1,True,1,21,0.0312,0.0647,0.0,0.5414,1,0,True,1,0,22,,,1.0664,0.4208
2586,6601,3,False,1,False,1,72,0.2609,0.0662,0.0,2.1858,0,0,False,2,317,724,,strict no-fallback: direct AI assignment did not detect fault,22.5247,20.004
2587,6601,4,False,1,False,1,20,0.3246,0.0327,0.0,0.5073,0,0,True,1,11,48,,strict no-fallback: direct AI assignment did not detect fault,2.0392,1.1672
2588,6602,3,False,1,False,1,32,0.2357,0.0651,0.0,0.9289,0,0,True,1,6,66,,strict no-fallback: direct AI assignment did not detect fault,2.6363,1.3989
2589,6602,4,False,1,False,1,20,0.3259,0.0327,0.0,0.5088,0,0,True,1,11,48,,strict no-fallback: direct AI assignment did not detect fault,2.0376,1.1628
2590,6603,3,False,1,False,1,51,0.2661,0.0654,0.0,1.5748,0,0,False,2,328,708,,strict no-fallback: direct AI assignment did not detect fault,21.987,20.0732
2591,6603,4,True,1,True,1,20,0.3198,0.0325,0.0,0.5072,1,0,True,1,0,21,,,1.2759,0.4084
2592,6604,3,False,1,False,1,72,0.2484,0.0656,0.0,2.2214,0,0,False,2,317,723,,strict no-fallback: direct AI assignment did not detect fault,22.5496,20.0063
2593,6604,4,True,1,True,1,20,0.3178,0.0323,0.0,0.506,1,0,True,1,0,21,,,1.2714,0.4075
2594,6605,3,False,1,False,1,72,0.2432,0.064,0.0,2.1958,0,0,False,2,315,720,,strict no-fallback: direct AI assignment did not detect fault,22.5279,20.0169
2595,6605,4,True,1,True,1,20,0.3168,0.0332,0.0,0.5139,1,0,True,1,0,21,,,1.2918,0.4203
2596,6606,3,True,1,True,1,48,0.233,0.0645,0.0,1.4335,1,0,True,1,0,49,,,2.6934,0.955
2597,6606,4,True,1,True,1,20,0.3195,0.0334,0.0,0.5106,1,0,True,1,0,21,,,1.284,0.4126
2598,6607,3,False,1,False,1,88,0.2911,0.066,0.0,2.6894,0,0,False,2,314,729,,strict no-fallback: direct AI assignment did not detect fault,23.0576,20.0031
2599,6607,4,True,1,True,1,20,0.3215,0.0324,0.0,0.5066,1,0,True,1,0,21,,,1.2751,0.407
2600,6608,3,False,1,False,1,41,0.2498,0.0659,0.0,1.2163,0,0,True,1,47,132,,strict no-fallback: direct AI assignment did not detect fault,5.0147,3.4752
2601,6608,4,True,1,True,1,20,0.3362,0.0324,0.0,0.5013,1,0,True,1,0,21,,,1.3142,0.4359
2602,6609,3,True,1,True,1,21,0.0517,0.065,0.0,0.6069,1,0,True,1,0,22,,,1.155,0.4238
2603,6609,4,True,1,True,1,21,0.0588,0.064,0.0,0.5984,1,0,True,1,0,22,,,1.1652,0.4367
2604,6610,3,True,1,True,1,19,0.0213,0.0638,0.0,0.5393,1,0,True,1,0,21,,,1.0452,0.4135
2605,6610,4,True,1,True,1,22,0.0214,0.0646,0.0,0.6693,1,0,True,1,0,21,,,1.1774,0.4146
2606,6613,3,False,1,False,1,26,0.0561,0.0644,0.0,0.7265,0,0,False,2,341,707,,strict no-fallback: direct AI assignment did not detect fault,20.871,20.0166
2607,6613,4,False,1,False,1,32,0.0728,0.0647,0.0,0.9768,0,0,False,2,334,715,,strict no-fallback: direct AI assignment did not detect fault,21.2054,20.0834
2608,6614,3,False,1,False,1,27,0.0636,0.0648,0.0,0.7504,0,0,False,2,339,707,,strict no-fallback: direct AI assignment did not detect fault,20.8927,20.0064
2609,6614,4,False,1,False,1,40,0.0565,0.0644,0.0,1.2236,0,0,False,2,335,712,,strict no-fallback: direct AI assignment did not detect fault,21.3872,20.0353
2610,6615,3,False,1,False,1,59,0.0502,0.0635,0.0,1.7872,0,0,False,2,340,738,,strict no-fallback: direct AI assignment did not detect fault,21.9233,20.0149
2611,6615,4,False,1,False,1,67,0.0742,0.0643,0.0,2.056,0,0,False,2,334,738,,strict no-fallback: direct AI assignment did not detect fault,22.2085,20.0062
2612,6616,3,True,1,True,1,23,0.0123,0.0629,0.0,0.7142,1,0,True,1,0,24,,,1.2662,0.4684
2613,6616,4,True,1,True,1,6,0.0219,0.0635,0.0,0.0945,1,0,True,1,0,7,,,0.3219,0.1337
2614,6619,3,False,1,False,1,28,0.0672,0.0652,0.0,0.7869,0,0,False,2,336,702,,strict no-fallback: direct AI assignment did not detect fault,20.9427,20.0157
2615,6619,4,False,1,False,1,40,0.0752,0.0652,0.0,1.2374,0,0,False,2,327,710,,strict no-fallback: direct AI assignment did not detect fault,21.393,20.0073
2616,6620,3,False,1,False,1,28,0.0415,0.0654,0.0,0.7877,0,0,False,2,339,706,,strict no-fallback: direct AI assignment did not detect fault,20.9338,20.0317
2617,6620,4,False,1,False,1,40,0.05,0.0651,0.0,1.2326,0,0,False,2,332,707,,strict no-fallback: direct AI assignment did not detect fault,21.366,20.0109
2618,6621,3,True,1,True,1,7,0.0166,0.0654,0.0,0.1288,1,0,True,1,0,6,,,0.3312,0.1129
2619,6621,4,True,1,True,1,5,0.017,0.0642,0.0,0.1264,1,0,True,1,0,6,,,0.3311,0.116
2620,6623,3,False,1,False,1,72,0.0564,0.0649,0.0,2.2743,0,0,False,2,317,723,,strict no-fallback: direct AI assignment did not detect fault,22.4109,20.0076
2621,6623,4,True,1,True,1,21,0.1028,0.0649,0.0,0.5338,1,0,True,1,0,22,,,1.1473,0.4374
2622,6624,3,True,1,True,1,33,0.0424,0.0657,0.0,1.057,1,0,True,1,0,34,,,1.8653,0.6922
2623,6624,4,True,1,True,1,21,0.1178,0.0658,0.0,0.54,1,0,True,1,0,22,,,1.1677,0.436
2624,6625,3,False,1,False,1,35,0.0709,0.0659,0.0,1.1108,0,0,False,2,328,693,,strict no-fallback: direct AI assignment did not detect fault,21.2632,20.0078
2625,6625,4,True,1,True,1,21,0.0991,0.0646,0.0,0.5312,1,0,True,1,0,22,,,1.13,0.4272
2626,6626,3,False,1,False,1,72,0.0789,0.065,0.0,2.2749,0,0,False,2,315,722,,strict no-fallback: direct AI assignment did not detect fault,22.4297,20.0027
2627,6626,4,True,1,True,1,21,0.1018,0.0639,0.0,0.5381,1,0,True,1,0,22,,,1.1422,0.4304
2628,6627,3,False,1,False,1,72,0.0779,0.0651,0.0,2.2722,0,0,False,2,314,714,,strict no-fallback: direct AI assignment did not detect fault,22.4247,20.0022
2629,6627,4,True,1,True,1,21,0.103,0.0646,0.0,0.5371,1,0,True,1,0,22,,,1.1426,0.43
2630,6628,3,True,1,True,1,33,0.0362,0.0649,0.0,1.0476,1,0,True,1,0,34,,,1.8274,0.6708
2631,6628,4,True,1,True,1,21,0.1022,0.064,0.0,0.5332,1,0,True,1,0,22,,,1.141,0.4342
2632,6629,3,False,1,False,1,33,0.036,0.0647,0.0,1.0514,0,0,True,1,10,60,,strict no-fallback: direct AI assignment did not detect fault,2.5199,1.3603
2633,6629,4,True,1,True,1,21,0.1066,0.0658,0.0,0.5402,1,0,True,1,0,22,,,1.1451,0.4246
2634,6630,3,False,1,False,1,33,0.0366,0.0655,0.0,1.0714,0,0,True,1,10,60,,strict no-fallback: direct AI assignment did not detect fault,2.5423,1.3612
2635,6630,4,True,1,True,1,21,0.1002,0.0655,0.0,0.5446,1,0,True,1,0,22,,,1.1382,0.4205
2636,6631,3,False,1,False,1,72,0.0314,0.0652,0.0,2.2839,0,0,False,2,318,727,,strict no-fallback: direct AI assignment did not detect fault,22.3967,20.0083
2637,6631,4,True,1,True,1,20,0.0807,0.0662,0.0,0.5057,1,0,True,1,0,21,,,1.0623,0.4021
2638,6632,3,True,1,True,1,33,0.0213,0.0661,0.0,1.0428,1,0,True,1,0,34,,,1.7981,0.6599
2639,6632,4,True,1,True,1,20,0.0812,0.0657,0.0,0.5028,1,0,True,1,0,21,,,1.0785,0.421
2640,6633,3,False,1,False,1,35,0.0483,0.0654,0.0,1.1241,0,0,False,2,328,698,,strict no-fallback: direct AI assignment did not detect fault,21.2491,20.0035
2641,6633,4,True,1,True,1,20,0.0837,0.0654,0.0,0.5092,1,0,True,1,0,21,,,1.0831,0.417
2642,6634,3,False,1,False,1,72,0.0363,0.0665,0.0,2.3095,0,0,False,2,317,726,,strict no-fallback: direct AI assignment did not detect fault,22.4347,20.0144
2643,6634,4,True,1,True,1,20,0.0817,0.0687,0.0,0.5112,1,0,True,1,0,21,,,1.0834,0.4141
2644,6635,3,False,1,False,1,72,0.0546,0.0659,0.0,2.2897,0,0,False,2,321,728,,strict no-fallback: direct AI assignment did not detect fault,22.4643,20.0466
2645,6635,4,True,1,True,1,20,0.0805,0.0651,0.0,0.5139,1,0,True,1,0,21,,,1.0887,0.4214
2646,6636,3,True,1,True,1,33,0.0218,0.0655,0.0,1.0591,1,0,True,1,0,34,,,1.8188,0.6642
2647,6636,4,True,1,True,1,20,0.0837,0.0663,0.0,0.5102,1,0,True,1,0,21,,,1.0849,0.4168
2648,6637,3,False,1,False,1,33,0.021,0.0658,0.0,1.0576,0,0,True,1,10,60,,strict no-fallback: direct AI assignment did not detect fault,2.5136,1.3617
2649,6637,4,True,1,True,1,20,0.0818,0.0656,0.0,0.5146,1,0,True,1,0,21,,,1.0755,0.4055
2650,6638,3,False,1,False,1,33,0.0224,0.0659,0.0,1.0561,0,0,True,1,10,60,,strict no-fallback: direct AI assignment did not detect fault,2.518,1.3657
2651,6638,4,True,1,True,1,20,0.0826,0.0648,0.0,0.5118,1,0,True,1,0,21,,,1.0802,0.4126
2652,6639,3,False,1,False,1,72,0.0685,0.0643,0.0,2.2697,0,0,False,2,317,726,,strict no-fallback: direct AI assignment did not detect fault,22.4118,20.0019
2653,6639,4,True,1,True,1,20,0.0852,0.0639,0.0,0.5021,1,0,True,1,0,21,,,1.0659,0.4064
2654,6640,3,True,1,True,1,33,0.0219,0.0655,0.0,1.052,1,0,True,1,0,34,,,1.8151,0.6679
2655,6640,4,True,1,True,1,20,0.0831,0.0662,0.0,0.5094,1,0,True,1,0,21,,,1.075,0.4083
2656,6641,3,False,1,False,1,35,0.0631,0.064,0.0,1.1142,0,0,False,2,330,702,,strict no-fallback: direct AI assignment did not detect fault,21.2568,20.0078
2657,6641,4,True,1,True,1,20,0.0839,0.066,0.0,0.5173,1,0,True,1,0,21,,,1.083,0.4079
2658,6642,3,False,1,False,1,72,0.0342,0.0649,0.0,2.2814,0,0,False,2,317,726,,strict no-fallback: direct AI assignment did not detect fault,22.4015,20.0135
2659,6642,4,True,1,True,1,20,0.0819,0.0646,0.0,0.508,1,0,True,1,0,21,,,1.0632,0.4005
2660,6643,3,False,1,False,1,72,0.0535,0.0646,0.0,2.2687,0,0,False,2,317,723,,strict no-fallback: direct AI assignment did not detect fault,22.4095,20.0148
2661,6643,4,True,1,True,1,20,0.0829,0.0653,0.0,0.4992,1,0,True,1,0,21,,,1.0664,0.4105
2662,6644,3,True,1,True,1,33,0.0216,0.0664,0.0,1.0532,1,0,True,1,0,34,,,1.8224,0.6733
2663,6644,4,True,1,True,1,20,0.0804,0.0655,0.0,0.506,1,0,True,1,0,21,,,1.0685,0.4085
2664,6645,3,False,1,False,1,33,0.021,0.064,0.0,1.0462,0,0,True,1,10,60,,strict no-fallback: direct AI assignment did not detect fault,2.4953,1.3564
2665,6645,4,True,1,True,1,20,0.0822,0.0656,0.0,0.502,1,0,True,1,0,21,,,1.0676,0.4101
2666,6646,3,False,1,False,1,33,0.0211,0.0645,0.0,1.0668,0,0,True,1,10,60,,strict no-fallback: direct AI assignment did not detect fault,2.5161,1.3563
2667,6646,4,True,1,True,1,20,0.0828,0.0651,0.0,0.5045,1,0,True,1,0,21,,,1.0624,0.4017
2668,6647,3,True,1,True,1,19,0.1495,0.0329,0.0,0.5065,1,0,True,1,0,20,,,1.0811,0.3837
2669,6647,4,False,1,False,1,52,0.0474,0.0675,0.0,1.6471,0,0,False,2,329,711,,strict no-fallback: direct AI assignment did not detect fault,21.7925,20.0226
2670,6648,3,True,1,True,1,18,0.1278,0.0326,0.0,0.4764,1,0,True,1,0,19,,,1.0095,0.3651
2671,6648,4,True,1,True,1,27,0.0213,0.0645,0.0,0.8598,1,0,True,1,0,28,,,1.504,0.551
2672,6649,3,True,1,True,1,22,0.1146,0.0648,0.0,0.6035,1,0,True,1,1,26,,,1.3147,0.524
