fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s,source_csv
248,5436,4,False,2,57,164,0,1177,5.003121,classic_shard_0_1000_per_fault.csv
249,5442,3,True,1,0,5,0,12,0.118966,classic_shard_0_1000_per_fault.csv
250,5454,3,True,1,0,4,0,11,0.096966,classic_shard_0_1000_per_fault.csv
251,5455,3,True,1,0,4,0,11,0.094949,classic_shard_0_1000_per_fault.csv
252,5459,3,True,1,0,4,0,11,0.09448,classic_shard_0_1000_per_fault.csv
253,5460,3,True,1,0,22,0,156,0.506177,classic_shard_0_1000_per_fault.csv
254,5471,3,True,1,0,11,0,31,0.255412,classic_shard_0_1000_per_fault.csv
255,5473,4,True,1,0,27,0,122,0.620633,classic_shard_0_1000_per_fault.csv
256,5474,3,True,1,0,5,0,8,0.11678,classic_shard_0_1000_per_fault.csv
257,5477,3,True,1,0,10,0,31,0.233813,classic_shard_0_1000_per_fault.csv
258,5492,4,True,1,11,48,0,381,1.336749,classic_shard_0_1000_per_fault.csv
259,5497,3,False,2,42,179,0,1420,5.003603,classic_shard_0_1000_per_fault.csv
260,5497,4,True,1,0,22,0,181,0.506413,classic_shard_0_1000_per_fault.csv
261,5500,3,False,2,64,161,0,347,5.020596,classic_shard_0_1000_per_fault.csv
262,5500,4,False,2,56,167,0,399,5.01969,classic_shard_0_1000_per_fault.csv
263,5501,3,False,2,64,160,0,336,5.006301,classic_shard_0_1000_per_fault.csv
264,5502,3,False,2,64,160,0,335,5.009795,classic_shard_0_1000_per_fault.csv
265,5522,3,True,1,0,20,0,154,0.459523,classic_shard_0_1000_per_fault.csv
266,5528,4,True,1,0,20,0,151,0.465743,classic_shard_0_1000_per_fault.csv
267,5537,4,True,1,11,47,0,365,1.330244,classic_shard_0_1000_per_fault.csv
268,5538,3,True,1,6,66,0,391,1.666853,classic_shard_0_1000_per_fault.csv
269,5539,4,True,1,0,21,0,166,0.482039,classic_shard_0_1000_per_fault.csv
270,5540,3,False,2,46,173,0,1300,5.009144,classic_shard_0_1000_per_fault.csv
271,5541,3,False,2,46,174,0,1252,5.002208,classic_shard_0_1000_per_fault.csv
272,5541,4,True,1,0,21,0,166,0.483803,classic_shard_0_1000_per_fault.csv
273,5543,4,True,1,0,21,0,166,0.482732,classic_shard_0_1000_per_fault.csv
274,5555,3,False,2,47,175,0,1428,5.029659,classic_shard_0_1000_per_fault.csv
275,5555,4,True,1,11,48,0,380,1.340255,classic_shard_0_1000_per_fault.csv
276,5556,4,True,1,11,48,0,380,1.341674,classic_shard_0_1000_per_fault.csv
277,5558,3,False,2,47,175,0,1300,5.042787,classic_shard_0_1000_per_fault.csv
278,5559,4,True,1,0,21,0,166,0.484884,classic_shard_0_1000_per_fault.csv
279,5560,4,True,1,0,21,0,166,0.482512,classic_shard_0_1000_per_fault.csv
280,5566,3,True,1,0,22,0,189,0.50633,classic_shard_0_1000_per_fault.csv
281,5568,3,True,1,0,21,0,174,0.481977,classic_shard_0_1000_per_fault.csv
282,5568,4,True,1,0,28,0,200,0.647535,classic_shard_0_1000_per_fault.csv
283,5569,3,True,1,0,20,0,157,0.459459,classic_shard_0_1000_per_fault.csv
284,5583,3,False,2,64,159,0,335,5.000663,classic_shard_0_1000_per_fault.csv
285,5592,3,False,2,46,171,0,1397,5.011965,classic_shard_0_1000_per_fault.csv
286,5595,3,False,2,46,174,0,1444,5.015937,classic_shard_0_1000_per_fault.csv
287,5595,4,True,1,0,21,0,178,0.480989,classic_shard_0_1000_per_fault.csv
288,5597,3,True,1,0,34,0,216,0.78725,classic_shard_0_1000_per_fault.csv
289,5599,3,True,1,10,60,0,432,1.589485,classic_shard_0_1000_per_fault.csv
290,5600,4,True,1,11,47,0,365,1.312896,classic_shard_0_1000_per_fault.csv
291,5602,4,True,1,0,21,0,165,0.481435,classic_shard_0_1000_per_fault.csv
292,5605,3,True,1,0,49,0,273,1.135146,classic_shard_0_1000_per_fault.csv
293,5606,3,False,2,42,180,0,1420,5.009168,classic_shard_0_1000_per_fault.csv
294,5619,4,True,1,0,11,0,31,0.255067,classic_shard_0_1000_per_fault.csv
295,5620,4,True,1,0,9,0,27,0.209514,classic_shard_0_1000_per_fault.csv
296,5622,3,True,1,0,22,0,98,0.503507,classic_shard_0_1000_per_fault.csv
297,5622,4,True,1,3,29,0,117,0.73282,classic_shard_0_1000_per_fault.csv
298,5626,3,True,1,2,27,0,127,0.666525,classic_shard_0_1000_per_fault.csv
299,5627,4,True,1,0,23,0,115,0.525228,classic_shard_0_1000_per_fault.csv
300,5629,4,True,1,0,23,0,118,0.527719,classic_shard_0_1000_per_fault.csv
301,5630,4,True,1,2,28,0,133,0.686185,classic_shard_0_1000_per_fault.csv
302,5632,4,True,1,2,29,0,142,0.70757,classic_shard_0_1000_per_fault.csv
303,5634,4,True,1,3,29,0,133,0.733026,classic_shard_0_1000_per_fault.csv
304,5636,3,True,1,0,22,0,108,0.503897,classic_shard_0_1000_per_fault.csv
305,5645,3,True,1,0,8,0,22,0.187698,classic_shard_0_1000_per_fault.csv
306,5671,4,True,1,0,22,0,164,0.505146,classic_shard_0_1000_per_fault.csv
